TransectNum,date,year,stratum,Rank,Observer,Point,StartTime,TimePeriod,Common Name,BirdCode,radialDistance,How,Sex,visual,Migrant,CL_Count,CL_ID,88,PtVisitZone,PtVisitEasting,PtVisitNorthing,MgmtEntity,MgmtRegion,MgmtUnit,MgmtForest,MgmtDistrict,County,State,BCR,primaryHabitat
NM-BCR18-AO11,5/2/2016,2016,NM-BCR18-AO,11,RJOHN,1,651,1,Grasshopper Sparrow,GRSP,39,S,U,0,0,1,,0,13,681875,3642875,All Other Lands,n/a,n/a,n/a,n/a,Gaines,NM,18,GR
NM-BCR18-AO11,5/2/2016,2016,NM-BCR18-AO,11,RJOHN,1,651,1,Grasshopper Sparrow,GRSP,42,S,U,0,0,1,,0,13,681875,3642875,All Other Lands,n/a,n/a,n/a,n/a,Gaines,NM,18,GR
NM-BCR18-AO11,5/2/2016,2016,NM-BCR18-AO,11,RJOHN,1,651,1,Western Meadowlark,WEME,272,S,U,0,0,1,,0,13,681875,3642875,All Other Lands,n/a,n/a,n/a,n/a,Gaines,NM,18,GR
NM-BCR18-AO11,5/2/2016,2016,NM-BCR18-AO,11,RJOHN,1,651,1,Dickcissel,DICK,49,S,M,1,0,1,,0,13,681875,3642875,All Other Lands,n/a,n/a,n/a,n/a,Gaines,NM,18,GR
NM-BCR18-AO11,5/2/2016,2016,NM-BCR18-AO,11,RJOHN,1,651,1,Dickcissel,DICK,83,S,U,0,0,1,,0,13,681875,3642875,All Other Lands,n/a,n/a,n/a,n/a,Gaines,NM,18,GR
NM-BCR18-AO11,5/2/2016,2016,NM-BCR18-AO,11,RJOHN,1,651,1,Lark Bunting,LARB,107,S,U,0,1,1,,0,13,681875,3642875,All Other Lands,n/a,n/a,n/a,n/a,Gaines,NM,18,GR
NM-BCR18-AO11,5/2/2016,2016,NM-BCR18-AO,11,RJOHN,1,651,1,Red-winged Blackbird,RWBL,239,S,U,1,0,1,,0,13,681875,3642875,All Other Lands,n/a,n/a,n/a,n/a,Gaines,NM,18,GR
NM-BCR18-AO11,5/2/2016,2016,NM-BCR18-AO,11,RJOHN,1,651,1,Western Meadowlark,WEME,99,CS,U,0,0,1,,0,13,681875,3642875,All Other Lands,n/a,n/a,n/a,n/a,Gaines,NM,18,GR
NM-BCR18-AO11,5/2/2016,2016,NM-BCR18-AO,11,RJOHN,1,651,1,Western Meadowlark,WEME,117,S,U,0,0,1,,0,13,681875,3642875,All Other Lands,n/a,n/a,n/a,n/a,Gaines,NM,18,GR
NM-BCR18-AO11,5/2/2016,2016,NM-BCR18-AO,11,RJOHN,1,651,1,Western Meadowlark,WEME,154,S,U,0,0,1,,0,13,681875,3642875,All Other Lands,n/a,n/a,n/a,n/a,Gaines,NM,18,GR
NM-BCR18-AO11,5/2/2016,2016,NM-BCR18-AO,11,RJOHN,1,651,1,Western Meadowlark,WEME,158,S,U,1,0,1,,0,13,681875,3642875,All Other Lands,n/a,n/a,n/a,n/a,Gaines,NM,18,GR
NM-BCR18-AO11,5/2/2016,2016,NM-BCR18-AO,11,RJOHN,1,651,2,Grasshopper Sparrow,GRSP,47,S,U,0,0,1,,0,13,681875,3642875,All Other Lands,n/a,n/a,n/a,n/a,Gaines,NM,18,GR
NM-BCR18-AO11,5/2/2016,2016,NM-BCR18-AO,11,RJOHN,1,651,2,Horned Lark,HOLA,162,S,U,0,0,1,,0,13,681875,3642875,All Other Lands,n/a,n/a,n/a,n/a,Gaines,NM,18,GR
NM-BCR18-AO11,5/2/2016,2016,NM-BCR18-AO,11,RJOHN,1,651,3,Red-winged Blackbird,RWBL,228,C,M,1,0,1,,0,13,681875,3642875,All Other Lands,n/a,n/a,n/a,n/a,Gaines,NM,18,GR
NM-BCR18-AO11,5/2/2016,2016,NM-BCR18-AO,11,RJOHN,1,651,3,Red-winged Blackbird,RWBL,234,V,M,1,0,1,,0,13,681875,3642875,All Other Lands,n/a,n/a,n/a,n/a,Gaines,NM,18,GR
NM-BCR18-AO11,5/2/2016,2016,NM-BCR18-AO,11,RJOHN,1,651,4,No Birds,NOBI,-1,U,U,0,0,0,,0,13,681875,3642875,All Other Lands,n/a,n/a,n/a,n/a,Gaines,NM,18,GR
NM-BCR18-AO11,5/2/2016,2016,NM-BCR18-AO,11,RJOHN,1,651,5,Horned Lark,HOLA,99,S,U,0,0,1,,0,13,681875,3642875,All Other Lands,n/a,n/a,n/a,n/a,Gaines,NM,18,GR
NM-BCR18-AO11,5/2/2016,2016,NM-BCR18-AO,11,RJOHN,1,651,5,Western Meadowlark,WEME,56,C,U,0,0,1,,0,13,681875,3642875,All Other Lands,n/a,n/a,n/a,n/a,Gaines,NM,18,GR
NM-BCR18-AO11,5/2/2016,2016,NM-BCR18-AO,11,RJOHN,1,651,5,Horned Lark,HOLA,132,S,U,0,0,1,,0,13,681875,3642875,All Other Lands,n/a,n/a,n/a,n/a,Gaines,NM,18,GR
NM-BCR18-AO11,5/2/2016,2016,NM-BCR18-AO,11,RJOHN,1,651,5,Mourning Dove,MODO,94,S,U,0,0,1,,0,13,681875,3642875,All Other Lands,n/a,n/a,n/a,n/a,Gaines,NM,18,GR
NM-BCR18-AO11,5/2/2016,2016,NM-BCR18-AO,11,RJOHN,1,651,6,No Birds,NOBI,-1,U,U,0,0,0,,0,13,681875,3642875,All Other Lands,n/a,n/a,n/a,n/a,Gaines,NM,18,GR
NM-BCR18-AO11,5/2/2016,2016,NM-BCR18-AO,11,RJOHN,2,631,1,Grasshopper Sparrow,GRSP,29,S,U,0,0,1,,0,13,681625,3642875,All Other Lands,n/a,n/a,n/a,n/a,Gaines,NM,18,GR
NM-BCR18-AO11,5/2/2016,2016,NM-BCR18-AO,11,RJOHN,2,631,1,Grasshopper Sparrow,GRSP,88,S,U,0,0,1,,0,13,681625,3642875,All Other Lands,n/a,n/a,n/a,n/a,Gaines,NM,18,GR
NM-BCR18-AO11,5/2/2016,2016,NM-BCR18-AO,11,RJOHN,2,631,1,Horned Lark,HOLA,53,CS,U,0,0,1,,0,13,681625,3642875,All Other Lands,n/a,n/a,n/a,n/a,Gaines,NM,18,GR
NM-BCR18-AO11,5/2/2016,2016,NM-BCR18-AO,11,RJOHN,2,631,1,Horned Lark,HOLA,68,S,U,0,0,1,,0,13,681625,3642875,All Other Lands,n/a,n/a,n/a,n/a,Gaines,NM,18,GR
NM-BCR18-AO11,5/2/2016,2016,NM-BCR18-AO,11,RJOHN,2,631,1,Mourning Dove,MODO,84,V,U,1,0,1,,0,13,681625,3642875,All Other Lands,n/a,n/a,n/a,n/a,Gaines,NM,18,GR
NM-BCR18-AO11,5/2/2016,2016,NM-BCR18-AO,11,RJOHN,2,631,1,Western Meadowlark,WEME,143,S,U,0,0,1,,0,13,681625,3642875,All Other Lands,n/a,n/a,n/a,n/a,Gaines,NM,18,GR
NM-BCR18-AO11,5/2/2016,2016,NM-BCR18-AO,11,RJOHN,2,631,1,Lark Bunting,LARB,60,S,U,0,1,1,,0,13,681625,3642875,All Other Lands,n/a,n/a,n/a,n/a,Gaines,NM,18,GR
NM-BCR18-AO11,5/2/2016,2016,NM-BCR18-AO,11,RJOHN,2,631,1,Mourning Dove,MODO,216,S,U,0,0,1,,0,13,681625,3642875,All Other Lands,n/a,n/a,n/a,n/a,Gaines,NM,18,GR
NM-BCR18-AO11,5/2/2016,2016,NM-BCR18-AO,11,RJOHN,2,631,1,Western Meadowlark,WEME,84,S,U,0,0,1,,0,13,681625,3642875,All Other Lands,n/a,n/a,n/a,n/a,Gaines,NM,18,GR
NM-BCR18-AO11,5/2/2016,2016,NM-BCR18-AO,11,RJOHN,2,631,2,Horned Lark,HOLA,47,C,U,0,0,1,,0,13,681625,3642875,All Other Lands,n/a,n/a,n/a,n/a,Gaines,NM,18,GR
NM-BCR18-AO11,5/2/2016,2016,NM-BCR18-AO,11,RJOHN,2,631,2,Western Meadowlark,WEME,136,CS,U,0,0,1,,0,13,681625,3642875,All Other Lands,n/a,n/a,n/a,n/a,Gaines,NM,18,GR
NM-BCR18-AO11,5/2/2016,2016,NM-BCR18-AO,11,RJOHN,2,631,2,Western Meadowlark,WEME,81,C,U,0,0,1,,0,13,681625,3642875,All Other Lands,n/a,n/a,n/a,n/a,Gaines,NM,18,GR
NM-BCR18-AO11,5/2/2016,2016,NM-BCR18-AO,11,RJOHN,2,631,3,No Birds,NOBI,-1,U,U,0,0,0,,0,13,681625,3642875,All Other Lands,n/a,n/a,n/a,n/a,Gaines,NM,18,GR
NM-BCR18-AO11,5/2/2016,2016,NM-BCR18-AO,11,RJOHN,2,631,4,Dickcissel,DICK,212,C,U,0,0,1,,0,13,681625,3642875,All Other Lands,n/a,n/a,n/a,n/a,Gaines,NM,18,GR
NM-BCR18-AO11,5/2/2016,2016,NM-BCR18-AO,11,RJOHN,2,631,4,Western Meadowlark,WEME,167,S,U,0,0,1,,0,13,681625,3642875,All Other Lands,n/a,n/a,n/a,n/a,Gaines,NM,18,GR
NM-BCR18-AO11,5/2/2016,2016,NM-BCR18-AO,11,RJOHN,2,631,4,Red-winged Blackbird,RWBL,323,S,U,0,0,1,,0,13,681625,3642875,All Other Lands,n/a,n/a,n/a,n/a,Gaines,NM,18,GR
NM-BCR18-AO11,5/2/2016,2016,NM-BCR18-AO,11,RJOHN,2,631,5,Horned Lark,HOLA,126,S,U,0,0,1,,0,13,681625,3642875,All Other Lands,n/a,n/a,n/a,n/a,Gaines,NM,18,GR
NM-BCR18-AO11,5/2/2016,2016,NM-BCR18-AO,11,RJOHN,2,631,6,Eurasian Collared-Dove,EUCD,271,S,U,0,0,1,,0,13,681625,3642875,All Other Lands,n/a,n/a,n/a,n/a,Gaines,NM,18,GR
