TransectNum,DATE,Observer,Point,priv_prop,midstory_present,pDogTown,pDogPresent,cliff_rock,NumSnags,primaryHabitat,o_canopy_percent,o_mean_height,shrub_cover,shrub_mean_height,gc_snow,gc_water,gc_woody,deadAndDown,gc_herb,gc_bare_litter,gc_dead_grass,gc_dead_grass_height,gc_live_grass,gc_live_grass_height
NM-BCR18-AO11,5/2/2016,RJOHN,1,1,0,0,0,0,0,GR,0,0,0,0,0,0,0,0,1,84,5,15,10,42
NM-BCR18-AO11,5/2/2016,RJOHN,2,1,0,0,0,0,0,GR,0,0,0,0,0,0,0,0,5,85,5,11,5,17
NM-BCR18-AO11,5/2/2016,RJOHN,3,1,0,0,0,0,0,AR,0,0,0,0,0,0,0,0,0,90,5,16,5,14
NM-BCR18-AO11,5/2/2016,RJOHN,4,1,0,0,0,0,0,GR,0,0,0,0,0,0,0,0,1,84,5,16,10,22
NM-BCR18-AO11,5/3/2017,TEMER,4,1,0,0,0,0,0,AR,0,0,0,0,0,0,0,0,20,74,1,24,5,11
NM-BCR18-AO11,5/2/2016,RJOHN,6,1,0,0,0,0,0,AR,0,0,0,0,0,0,0,0,1,89,5,13,5,14
NM-BCR18-AO11,5/2/2016,RJOHN,7,1,0,0,0,0,0,AR,0,0,0,0,0,0,0,0,10,80,5,9,5,48
NM-BCR18-AO11,5/3/2017,TEMER,7,1,0,0,0,0,0,AR,0,0,0,0,0,0,0,0,20,80,0,0,0,0
NM-BCR18-AO11,5/3/2017,TEMER,8,1,0,0,0,0,0,AR,0,0,0,0,0,0,0,0,30,80,0,0,0,0
NM-BCR18-AO11,5/2/2016,RJOHN,10,1,0,0,0,0,0,AR,0,0,0,0,0,0,0,0,1,89,5,14,5,13
NM-BCR18-AO11,5/2/2016,RJOHN,11,1,0,0,0,0,0,AR,0,0,0,0,0,0,0,0,10,80,5,12,5,51
NM-BCR18-AO11,5/3/2017,TEMER,11,1,0,0,0,0,0,AR,0,0,0,0,0,0,0,0,10,88,1,17,1,32
NM-BCR18-AO11,5/2/2016,RJOHN,14,1,0,0,0,0,0,AR,0,0,0,0,0,0,0,0,1,89,5,13,5,15
NM-BCR18-AO11,5/2/2016,RJOHN,15,1,0,0,0,0,0,AR,0,0,0,0,0,0,0,0,10,80,5,11,5,47
NM-BCR18-AO11,5/3/2017,TEMER,15,1,0,0,0,0,0,AR,0,0,0,0,0,0,0,0,20,78,1,31,1,20
NM-BCR18-AO12,5/5/2016,BRAMI,5,1,0,0,0,0,0,AR,0,0,0,0,0,0,1,0,5,94,1,6,0,0
NM-BCR18-AO12,5/7/2017,NMCNE,5,1,0,0,0,0,0,GR,0,0,1,0.25,0,0,0,0,20,78,1,7,1,18
NM-BCR18-AO12,5/5/2016,BRAMI,6,1,0,0,0,0,0,AR,0,0,0,0,0,0,0,0,5,95,0,0,0,0
NM-BCR18-AO12,5/7/2017,NMCNE,6,1,0,0,0,0,0,GR,0,0,0,0,0,0,0,0,20,74,1,45,5,25
NM-BCR18-AO12,5/5/2016,BRAMI,7,1,0,0,0,0,0,AR,0,0,0,0,0,0,0,0,1,97,1,17,1,14
NM-BCR18-AO12,5/7/2017,NMCNE,7,1,0,0,0,0,0,GR,0,0,0,0,0,0,0,0,10,80,5,15,5,30
NM-BCR18-AO12,5/5/2016,BRAMI,8,1,0,0,0,0,0,AR,0,0,0,0,0,0,0,0,5,93,1,8,1,19
NM-BCR18-AO12,5/5/2016,BRAMI,9,1,0,0,0,0,0,AR,0,0,1,0.5,0,0,0,0,5,93,1,16,1,8
NM-BCR18-AO12,5/7/2017,NMCNE,9,1,0,0,0,0,0,GR,0,0,0,0,0,0,0,0,20,70,5,22,5,15
NM-BCR18-AO12,5/5/2016,BRAMI,10,1,0,0,0,0,0,AR,0,0,1,0.25,0,0,0,0,5,95,0,0,0,0
NM-BCR18-AO12,5/7/2017,NMCNE,10,1,0,0,0,0,0,GR,0,0,0,0,0,0,0,0,20,65,5,16,10,14
NM-BCR18-AO12,5/5/2016,BRAMI,11,1,0,0,0,0,0,AR,0,0,1,0.25,0,0,0,0,5,93,1,13,1,18
NM-BCR18-AO12,5/7/2017,NMCNE,11,1,0,0,0,0,0,GR,0,0,0,0,0,0,0,0,30,60,5,15,5,19
NM-BCR18-AO12,5/5/2016,BRAMI,12,1,0,0,0,0,0,AR,0,0,0,0,0,0,1,0,5,89,5,19,1,6
NM-BCR18-AO12,5/5/2016,BRAMI,13,1,0,0,0,0,0,AR,0,0,1,0.5,0,0,0,0,5,93,1,5,1,14
NM-BCR18-AO12,5/7/2017,NMCNE,13,1,0,0,0,0,0,GR,0,0,0,0,0,0,0,0,20,70,5,28,5,13
NM-BCR18-AO12,5/5/2016,BRAMI,14,1,0,0,0,0,0,AR,0,0,1,0.5,0,0,0,0,5,93,1,7,1,15
NM-BCR18-AO12,5/7/2017,NMCNE,14,1,0,0,0,0,0,GR,0,0,0,0,0,0,0,0,20,70,5,25,5,15
NM-BCR18-AO12,5/5/2016,BRAMI,15,1,0,0,0,0,0,AR,0,0,0,0,0,0,0,0,5,93,1,7,1,18
NM-BCR18-AO12,5/7/2017,NMCNE,15,1,0,0,0,0,0,GR,0,0,1,0.25,0,0,0,0,20,65,10,16,5,16
NM-BCR18-AO12,5/5/2016,BRAMI,16,1,0,0,0,0,0,AR,0,0,0,0,0,0,1,0,5,92,1,16,1,8
NM-BCR18-AO24,5/8/2017,NMCNE,1,1,0,0,0,0,0,GR,0,0,5,0.75,0,0,1,0,5,79,5,32,10,8
NM-BCR18-AO24,5/8/2017,NMCNE,2,1,0,0,0,0,0,SA,0,0,10,0.5,0,0,1,0,5,79,5,34,10,10
NM-BCR18-AO24,5/8/2017,NMCNE,3,1,0,0,0,0,0,SH,0,0,10,0.5,0,0,1,0,5,79,5,36,10,18
NM-BCR18-AO24,5/20/2016,BRAMI,5,1,0,0,0,0,0,XX,0,0,5,0.25,0,0,1,0,10,83,5,48,1,17
NM-BCR18-AO24,5/8/2017,NMCNE,5,1,0,0,0,0,0,GR,0,0,5,0.5,0,0,1,0,10,79,5,44,5,18
NM-BCR18-AO24,5/20/2016,BRAMI,6,1,0,0,0,0,0,SA,0,0,20,0.5,0,0,1,0,5,88,5,61,1,17
NM-BCR18-AO24,5/8/2017,NMCNE,6,1,0,0,0,0,0,SA,0,0,10,0.5,0,0,1,0,5,79,5,37,10,15
