TransectNum,DATE,Observer,Point,priv_prop,midstory_present,pDogTown,pDogPresent,cliff_rock,NumSnags,primaryHabitat,o_canopy_percent,o_mean_height,shrub_cover,shrub_mean_height,gc_snow,gc_water,gc_woody,deadAndDown,gc_herb,gc_bare_litter,gc_dead_grass,gc_dead_grass_height,gc_live_grass,gc_live_grass_height
NM-RANCH-RA1,5/19/2017,MRUEH,1,1,0,0,0,0,0,PJ,5,7,5,1.75,0,0,1,5,5,83,5,32,1,17
NM-RANCH-RA1,5/19/2017,MRUEH,2,1,0,0,0,0,0,SH,1,8,10,2,0,0,1,0,10,79,5,28,5,19
NM-RANCH-RA1,5/19/2017,MRUEH,3,1,0,0,0,0,0,GR,1,8,5,1.25,0,0,1,0,5,84,5,30,5,13
NM-RANCH-RA1,5/19/2017,MRUEH,4,1,0,0,0,0,0,RI,1,6,5,2,0,0,1,1,10,78,5,25,5,12
NM-RANCH-RA1,5/19/2017,MRUEH,5,1,0,0,0,0,0,RI,1,9,5,1.75,0,0,1,0,5,79,5,24,10,20
NM-RANCH-RA1,5/19/2017,MRUEH,6,1,0,0,0,0,0,RI,1,9,10,1.75,0,0,1,0,5,74,10,21,10,17
NM-RANCH-RA1,5/19/2017,MRUEH,7,1,0,0,0,0,0,GR,1,5,1,1.5,0,0,1,0,5,79,10,19,5,17
NM-RANCH-RA1,5/19/2017,MRUEH,8,1,0,0,0,0,1,GR,1,7,1,0.75,0,0,1,1,5,78,10,20,5,18
NM-RANCH-RA1,5/19/2017,MRUEH,9,1,0,0,0,0,2,GR,1,7,1,1,0,0,0,0,5,80,10,18,5,9
NM-RANCH-RA1,5/19/2017,MRUEH,10,1,0,0,0,0,3,RI,1,6,1,0.5,0,0,1,0,5,79,10,16,5,10
NM-RANCH-RA1,5/19/2017,MRUEH,11,1,0,0,0,0,0,GR,1,6,1,1.5,0,0,1,0,5,83,10,23,1,15
NM-RANCH-RA1,5/19/2017,MRUEH,12,1,0,0,0,0,2,PJ,5,6,1,1,0,0,1,0,5,79,10,25,5,10
NM-RANCH-RA1,5/19/2017,MRUEH,13,1,0,0,0,0,0,GR,1,7,0,-1,0,0,1,0,5,88,5,18,1,12
NM-RANCH-RA1,5/19/2017,MRUEH,14,1,0,0,0,0,0,GR,1,6,1,0.75,0,0,0,1,10,83,5,16,1,14
NM-RANCH-RA1,5/19/2017,MRUEH,15,1,0,0,0,0,0,GR,1,8,1,1.75,0,0,1,1,10,77,10,26,1,10
