TransectNum,DATE,Observer,Point,priv_prop,midstory_present,pDogTown,pDogPresent,cliff_rock,NumSnags,primaryHabitat,o_canopy_percent,o_mean_height,shrub_cover,shrub_mean_height,gc_snow,gc_water,gc_woody,deadAndDown,gc_herb,gc_bare_litter,gc_dead_grass,gc_dead_grass_height,gc_live_grass,gc_live_grass_height
TX-BCR18-AO11,4/27/2016,JMCMA,2,1,0,0,0,0,0,GR,0,0,1,0.25,0,0,1,0,1,78,10,32,10,6
TX-BCR18-AO11,5/18/2017,RUBIA,2,1,0,0,0,0,0,GR,0,0,5,0.75,0,0,1,0,1,78,10,45,10,16
TX-BCR18-AO11,4/27/2016,JMCMA,3,1,0,0,0,0,0,GR,0,0,5,0.25,0,0,1,0,1,78,10,37,10,5
TX-BCR18-AO11,5/18/2017,RUBIA,3,1,0,0,0,0,0,GR,0,0,1,0.5,0,0,0,0,1,79,10,25,10,40
TX-BCR18-AO11,4/27/2016,JMCMA,4,1,0,0,0,0,0,GR,0,0,0,0,0,0,1,0,1,87,1,18,10,4
TX-BCR18-AO11,5/18/2017,RUBIA,4,1,0,0,0,0,0,GR,0,0,0,0,0,0,0,0,1,79,10,32,10,5
TX-BCR18-AO11,4/27/2016,JMCMA,6,1,0,0,0,0,0,GR,0,0,1,0.25,0,0,1,0,1,83,10,18,5,4
TX-BCR18-AO11,5/18/2017,RUBIA,6,1,0,0,0,0,0,GR,0,0,1,0.5,0,0,0,0,1,79,10,38,10,27
TX-BCR18-AO11,4/27/2016,JMCMA,7,1,0,0,0,0,0,GR,0,0,1,0.25,0,0,1,0,1,78,10,28,10,6
TX-BCR18-AO11,5/18/2017,RUBIA,7,1,0,0,0,0,0,GR,0,0,1,0.5,0,0,0,0,1,79,10,42,10,11
TX-BCR18-AO11,4/27/2016,JMCMA,8,1,0,0,0,0,0,GR,0,0,1,0.25,0,0,1,0,1,83,5,22,10,5
TX-BCR18-AO11,5/18/2017,RUBIA,8,1,0,0,0,0,0,GR,0,0,1,0.5,0,0,1,0,5,79,5,29,10,6
TX-BCR18-AO11,4/27/2016,JMCMA,10,1,0,0,0,0,0,GR,0,0,1,0.25,0,0,1,0,1,78,10,30,10,8
TX-BCR18-AO11,5/18/2017,RUBIA,10,1,0,0,0,0,0,GR,0,0,1,0.25,0,0,1,0,1,78,10,47,10,32
TX-BCR18-AO11,4/27/2016,JMCMA,11,1,0,0,0,0,0,GR,0,0,1,0.25,0,0,1,0,1,83,10,32,5,6
TX-BCR18-AO11,5/18/2017,RUBIA,11,1,0,0,0,0,0,GR,0,0,1,0.25,0,0,1,0,1,78,10,55,10,21
TX-BCR18-AO11,5/18/2017,RUBIA,12,1,0,0,0,0,0,GR,0,0,1,0.5,0,0,1,0,1,78,10,35,10,7
TX-BCR18-AO11,4/27/2016,JMCMA,14,1,0,0,0,0,0,GR,0,0,0,0,0,0,1,0,1,78,10,30,10,8
TX-BCR18-AO11,5/18/2017,RUBIA,14,1,0,0,0,0,0,GR,0,0,1,0.5,0,0,0,0,1,79,10,37,10,28
TX-BCR18-AO11,4/27/2016,JMCMA,15,1,0,0,0,0,0,GR,0,0,1,0.25,0,0,1,0,1,78,10,18,10,5
TX-BCR18-AO11,5/18/2017,RUBIA,15,1,0,0,0,0,0,GR,0,0,1,0.5,0,0,0,0,1,79,10,37,10,18
TX-BCR18-AO11,4/27/2016,JMCMA,16,1,0,0,0,0,0,GR,0,0,5,0.25,0,0,1,0,1,83,5,22,10,6
TX-BCR18-AO11,5/18/2017,RUBIA,16,1,0,0,0,0,0,GR,0,0,1,0.5,0,0,0,0,1,89,10,52,5,11
TX-BCR18-AO12,5/8/2016,ALADI,1,1,0,0,0,0,0,AR,0,0,0,0,0,0,0,0,0,99,0,0,1,7
TX-BCR18-AO12,5/8/2016,ALADI,2,1,0,0,0,0,0,AR,0,0,0,0,0,0,0,0,0,99,0,0,1,11
TX-BCR18-AO12,5/8/2016,ALADI,3,1,0,0,0,0,0,AR,0,0,0,0,0,0,0,0,0,99,0,0,1,7
TX-BCR18-AO12,5/8/2016,ALADI,4,1,0,0,0,0,0,AR,0,0,0,0,0,0,0,0,0,100,0,0,0,0
TX-BCR18-AO12,5/8/2016,ALADI,5,1,0,0,0,0,0,GR,0,0,0,0,0,0,0,0,1,89,5,21,5,15
TX-BCR18-AO12,5/8/2016,ALADI,8,1,0,0,0,0,0,AR,0,0,0,0,0,0,0,0,1,99,0,0,0,10
TX-BCR18-AO12,5/8/2016,ALADI,9,1,0,0,0,0,0,GR,0,0,0,0,0,0,0,0,1,89,5,26,5,12
TX-BCR18-AO12,5/8/2016,ALADI,13,1,0,0,0,0,0,AR,0,0,0,0,0,0,0,0,5,89,1,20,5,16
TX-BCR18-AO12,5/8/2016,ALADI,14,1,0,0,0,0,0,GR,0,0,1,0.25,0,0,0,0,1,89,5,27,5,14
TX-BCR18-AO12,5/8/2016,ALADI,15,1,0,0,0,0,0,GR,0,0,0,0,0,0,0,0,1,89,5,41,5,18
TX-BCR18-AO12,5/8/2016,ALADI,16,1,0,0,0,0,0,GR,0,0,0,0,0,0,1,0,1,87,1,43,10,11
TX-BCR18-AO15,5/4/2016,DHORT,1,0,0,0,0,0,0,UR,10,6,1,0.5,0,0,1,0,5,84,0,0,10,7
TX-BCR18-AO15,5/23/2017,EKIST,1,0,0,0,0,0,0,UR,1,8,1,1,0,1,0,0,1,88,0,0,10,7
TX-BCR18-AO15,5/4/2016,DHORT,2,0,0,0,0,0,0,UR,5,5,1,2.5,0,1,0,0,0,40,0,0,59,8
TX-BCR18-AO15,5/23/2017,EKIST,2,0,0,0,0,0,0,UR,1,8,1,1,0,1,0,0,0,69,0,0,30,7
TX-BCR18-AO15,5/4/2016,DHORT,4,0,0,0,0,0,0,UR,5,4,1,0.5,0,0,1,0,1,88,0,0,10,14
TX-BCR18-AO15,5/4/2016,DHORT,5,1,0,0,0,0,0,UR,5,5,1,0.75,0,0,1,0,1,68,0,0,30,29
TX-BCR18-AO15,5/23/2017,EKIST,5,0,0,0,0,0,0,UR,1,7,1,1,0,1,0,0,0,94,0,0,5,7
TX-BCR18-AO15,5/4/2016,DHORT,6,0,0,0,0,0,0,UR,10,6,1,0.5,0,0,1,0,1,88,0,0,10,6
